ID,ID2,StudySite,GMT_DATE,Site,Year,Stage,julian,primeRdRast,SecondRdRast,Open,Decid,Water,Pine,Mix,Shrub,dist_edge,Dist_Access,Dist_Private,total_dist,mean_dist,mean_speed,roost_dist,age,Age,Status,Year_Status,Death,Death_Date,Area50,Area99,dist_core
131,SC131,SC,3/1/2014,Webb,2014,Pre_Hunt,0,504.5131181,112.0649064,190.7759705,3.529411765,208.8810995,97.17647059,1019.363884,148.9671644,114.1323163,496.0854968,2740.382785,1468.367516,86.37455974,97.89116771,203.129577,2,A,Live,Harvested,Harvested,4/12/2014,17.46228292,155.1793835,85.62520102
131,SC131,SC,3/2/2014,Webb,2014,Pre_Hunt,1,541.4014624,159.0968664,213.0013953,0,267.1220551,121.4117647,829.3355749,174.7927578,154.708132,509.9044127,2648.335543,1579.124235,92.88966087,105.274949,482.6871184,2,A,Live,Harvested,Harvested,4/12/2014,17.46228292,155.1793835,31.22714019
131,SC131,SC,3/3/2014,Webb,2014,Pre_Hunt,2,426.8196279,251.2629119,274.5067614,0,421.1922733,150.8235294,667.0046782,219.8493841,196.2234779,407.096832,2417.298941,1356.485382,79.79325777,90.4323588,452.0916252,2,A,Live,Harvested,Harvested,4/12/2014,17.46228292,155.1793835,30.81820375
131,SC131,SC,3/4/2014,Webb,2014,Pre_Hunt,3,294.4762476,187.7122457,400.0265754,1.764705882,406.9148712,208.6470588,672.7813308,178.8557205,159.3916392,273.2785532,2263.760623,2239.983398,131.7637293,149.3322265,1154.821597,2,A,Live,Harvested,Harvested,4/12/2014,17.46228292,155.1793835,150.8363928
131,SC131,SC,3/5/2014,Webb,2014,Pre_Hunt,4,353.0790381,129.4623093,184.9098997,7.5,388.7243538,92.125,779.0854894,151.1040835,119.3081578,359.7872533,2657.737429,3678.499079,229.9061924,245.2332719,1152.226463,2,A,Live,Harvested,Harvested,4/12/2014,17.46228292,155.1793835,441.5694134
131,SC131,SC,3/6/2014,Webb,2014,Pre_Hunt,5,350.6031875,236.9334776,395.994305,8.423726595,320.0803628,177.1538462,1038.227117,288.3585041,236.119868,308.0515422,2351.126806,2695.77851,207.3675777,179.7185673,2081.446647,2,A,Live,Harvested,Harvested,4/12/2014,17.46228292,155.1793835,485.3989844
131,SC131,SC,3/7/2014,Webb,2014,Pre_Hunt,6,219.6660481,214.3646525,48.36549288,1.764705882,222.9459686,109.5882353,957.565408,81.10537584,36.59375157,192.6520899,2599.485956,465.8619862,27.40364625,31.05746574,161.442382,2,A,Live,Harvested,Harvested,4/12/2014,17.46228292,155.1793835,890.3771491
131,SC131,SC,3/8/2014,Webb,2014,Pre_Hunt,7,300.3745268,256.6692229,91.51156034,0,250.2801433,137.8823529,881.9992029,134.0909029,86.12105681,272.0770042,2516.00957,522.5098016,30.73587068,34.83398677,16.53924214,2,A,Live,Harvested,Harvested,4/12/2014,17.46228292,155.1793835,882.0938887
131,SC131,SC,3/9/2014,Webb,2014,Pre_Hunt,8,191.90095,240.6647945,243.8691854,20.6011261,223.0873581,72.2,1180.71158,92.54072672,60.35520249,172.8846053,2617.000692,1703.579856,113.5719904,113.5719904,692.0954758,2,A,Live,Harvested,Harvested,4/12/2014,17.46228292,155.1793835,627.4847315
131,SC131,SC,3/10/2014,Webb,2014,Pre_Hunt,9,226.0168138,126.8409564,360.7793112,19.52557956,244.472466,70,1401.196705,111.636322,92.79325693,204.3638422,2688.060948,1908.617558,112.2716211,127.2411705,36.45415359,2,A,Live,Harvested,Harvested,4/12/2014,17.46228292,155.1793835,177.3774569
