ID2,ID,fday,lday,Site,Year,Stage,julian,Age,Year_Status,Death,Survival
47452,"[47452,Intercept]",3/5/2021,NA,GA,2021,3Post_Hunt,148,J,Live,NA,1
61098,"[61098,Intercept]",3/1/2018,6/3/2018,GA,2018,3Post_Hunt,93,A,Predated,Predated,0
61100,"[61100,Intercept]",3/1/2018,3/22/2018,GA,2018,1Pre_Hunt,20,A,Predated,Predated,0
46246,"[46246,Intercept]",3/1/2017,9/13/2017,GA,2017,3Post_Hunt,130,J,Predated,Predated,0
47471,"[47471,Intercept]",3/2/2021,NA,GA,2021,3Post_Hunt,148,J,Live,NA,1
61110,"[61110,Intercept]",3/1/2018,6/23/2018,GA,2018,3Post_Hunt,114,A,Predated,Predated,0
11234,"[11234,Intercept]",3/1/2023,4/6/2023,GA,2023,1Pre_Hunt,,A,Predated,Predated,0
113,"[113,Intercept]",3/1/2014,NA,Webb,2014,3Post_Hunt,79,A,Live,NA,1
128,"[128,Intercept]",3/1/2014,NA,Webb,2014,3Post_Hunt,152,A,Live,NA,1
129,"[129,Intercept]",3/1/2014,NA,Webb,2014,3Post_Hunt,152,A,Live,NA,1
133,"[133,Intercept]",3/1/2014,NA,Webb,2014,2Hunt,37,A,Live,NA,1
135,"[135,Intercept]",3/1/2014,NA,Webb,2014,3Post_Hunt,130,A,Live,NA,1
142,"[142,Intercept]",3/1/2014,NA,Webb,2014,2Hunt,46,A,Live,NA,1
144,"[144,Intercept]",3/1/2014,NA,Webb,2014,3Post_Hunt,107,A,Live,NA,1
145,"[145,Intercept]",3/1/2014,6/3/2016,Webb,2014,3Post_Hunt,152,A,Live,Predated,1
149,"[149,Intercept]",3/1/2014,4/6/2016,Webb,2014,2Hunt,45,A,Live,Harvested,1
150,"[150,Intercept]",3/1/2014,NA,Webb,2014,3Post_Hunt,152,A,Live,NA,1
46106,"[46106,Intercept]",3/1/2017,NA,Webb,2017,3Post_Hunt,152,A,Live,NA,1
46099,"[46099,Intercept]",3/1/2017,3/17/2017,Webb,2017,1Pre_Hunt,15,J,Predated,Predated,0
60202,"[60202,Intercept]",3/1/2015,3/31/2016,Webb,2015,3Post_Hunt,133,J,Live,Harvested,1
46115,"[46115,Intercept]",3/1/2017,NA,Webb,2017,1Pre_Hunt,28,A,Live,NA,1
60105,"[60105,Intercept]",3/1/2015,3/20/2017,Webb,2015,3Post_Hunt,101,A,Live,Harvested,1
46102,"[46102,Intercept]",3/1/2017,3/30/2017,Webb,2017,1Pre_Hunt,28,J,Predated,Predated,0
46117,"[46117,Intercept]",3/1/2017,7/20/2017,Webb,2017,3Post_Hunt,140,J,Predated,Predated,0
60109,"[60109,Intercept]",3/1/2015,NA,Webb,2015,3Post_Hunt,64,A,Live,NA,1
60113,"[60113,Intercept]",3/1/2015,NA,Webb,2015,3Post_Hunt,152,A,Live,NA,1
60119,"[60119,Intercept]",3/1/2015,NA,Webb,2015,3Post_Hunt,152,A,Live,NA,1
60129,"[60129,Intercept]",3/1/2015,NA,Webb,2015,3Post_Hunt,152,A,Live,NA,1
60131,"[60131,Intercept]",3/1/2015,NA,Webb,2015,3Post_Hunt,152,A,Live,NA,1
60383,"[60383,Intercept]",3/1/2015,4/7/2016,Webb,2015,3Post_Hunt,148,A,Live,Harvested,1
60384,"[60384,Intercept]",3/1/2015,NA,Webb,2015,3Post_Hunt,148,A,Live,NA,1
60747,"[60747,Intercept]",3/1/2016,NA,Webb,2016,3Post_Hunt,140,A,Live,NA,1
60751,"[60751,Intercept]",3/1/2016,NA,Webb,2016,3Post_Hunt,140,A,Live,NA,1
60761,"[60761,Intercept]",3/1/2016,NA,Webb,2016,3Post_Hunt,140,A,Live,NA,1
60772,"[60772,Intercept]",3/1/2016,NA,Webb,2016,3Post_Hunt,140,A,Live,NA,1
11503,"[11503,Intercept]",3/1/2023,,GA,2023,1Pre_Hunt,,A,Predated,Predated,0
11507,"[11507,Intercept]",3/1/2023,,GA,2023,1Pre_Hunt,,A,Predated,Predated,0
46226,"[46226,Intercept]",3/1/2017,4/6/2020,GA,2017,2Hunt,36,A,Live,Harvested,1
46567,"[46567,Intercept]",3/1/2019,3/13/2019,GA,2019,1Pre_Hunt,11,J,Predated,Predated,0
61071,"[61071,Intercept]",3/1/2018,NA,GA,2018,3Post_Hunt,121,J,Live,NA,1
61072,"[61072,Intercept]",3/1/2018,NA,GA,2018,3Post_Hunt,121,J,Live,NA,1
46612,"[46612,Intercept]",3/1/2019,4/25/2020,GA,2019,3Post_Hunt,121,A,Live,Harvested,1
61075,"[61075,Intercept]",3/1/2018,NA,GA,2018,3Post_Hunt,121,J,Live,NA,1
46618,"[46618,Intercept]",3/1/2019,1/17/2020,GA,2019,3Post_Hunt,121,A,Live,Predated,1
46967,"[46967,Intercept]",3/1/2021,4/10/2022,GA,2021,2Hunt,39,A,Live,Predated,1
47432,"[47432,Intercept]",3/1/2021,NA,GA,2021,3Post_Hunt,139,A,Live,NA,1
47459,"[47459,Intercept]",3/1/2021,NA,GA,2021,3Post_Hunt,112,A,Live,NA,1
61091,"[61091,Intercept]",3/1/2018,4/12/2019,GA,2018,3Post_Hunt,121,J,Live,Harvested,1
47476,"[47476,Intercept]",3/1/2021,NA,GA,2021,2Hunt,62,A,Live,NA,1
47485,"[47485,Intercept]",3/1/2021,NA,GA,2021,2Hunt,74,A,Live,NA,1
61103,"[61103,Intercept]",3/1/2018,NA,GA,2018,3Post_Hunt,121,J,Live,NA,1
61057,"[61057,Intercept]",3/1/2018,4/18/2019,GA,2018,3Post_Hunt,121,A,Live,Harvested,1
61058,"[61058,Intercept]",3/1/2018,10/31/2018,GA,2018,3Post_Hunt,121,A,Live,Car,1
60773,"[60773,Intercept]",3/1/2016,NA,Webb,2016,3Post_Hunt,140,A,Live,NA,1
61145,"[61145,Intercept]",3/1/2018,NA,Webb,2018,3Post_Hunt,146,J,Live,NA,1
61143,"[61143,Intercept]",3/1/2018,4/5/2021,Webb,2018,3Post_Hunt,91,A,Live,Predated,1
61223,"[61223,Intercept]",3/1/2018,3/24/2019,Webb,2018,1Pre_Hunt,6,J,Live,Harvested,1
61146,"[61146,Intercept]",3/1/2018,NA,Webb,2018,3Post_Hunt,146,A,Live,NA,1
61227,"[61227,Intercept]",3/1/2018,3/23/2019,Webb,2018,3Post_Hunt,148,J,Live,Harvested,1
61230,"[61230,Intercept]",3/1/2018,NA,Webb,2018,3Post_Hunt,151,J,Live,NA,1
61224,"[61224,Intercept]",3/1/2018,NA,Webb,2018,3Post_Hunt,151,A,Live,NA,1
61232,"[61232,Intercept]",3/1/2018,NA,Webb,2018,3Post_Hunt,148,A,Live,NA,1
61259,"[61259,Intercept]",3/1/2020,NA,GA,2020,3Post_Hunt,149,J,Live,NA,1
61264,"[61264,Intercept]",3/1/2020,NA,GA,2020,3Post_Hunt,149,J,Live,NA,1
61267,"[61267,Intercept]",3/1/2020,3/30/2021,GA,2020,3Post_Hunt,149,J,Live,Harvested,1
61066,"[61066,Intercept]",3/1/2018,NA,GA,2018,3Post_Hunt,121,A,Live,NA,1
61074,"[61074,Intercept]",3/1/2018,NA,GA,2018,3Post_Hunt,121,A,Live,NA,1
61283,"[61283,Intercept]",3/1/2020,3/30/2021,GA,2020,3Post_Hunt,149,J,Live,Harvested,1
61081,"[61081,Intercept]",3/1/2018,NA,GA,2018,3Post_Hunt,84,A,Live,NA,1
61296,"[61296,Intercept]",3/1/2020,NA,GA,2020,3Post_Hunt,149,J,Live,NA,1
61082,"[61082,Intercept]",3/1/2018,3/24/2020,GA,2018,3Post_Hunt,121,A,Live,Harvested,1
61086,"[61086,Intercept]",3/1/2018,NA,GA,2018,3Post_Hunt,121,A,Live,NA,1
61087,"[61087,Intercept]",3/1/2018,NA,GA,2018,3Post_Hunt,121,A,Live,NA,1
61272,"[61272,Intercept]",3/1/2020,NA,GA,2020,3Post_Hunt,148,A,Live,NA,1
61277,"[61277,Intercept]",3/1/2020,NA,GA,2020,3Post_Hunt,148,A,Live,NA,1
61285,"[61285,Intercept]",3/11/2020,NA,GA,2020,3Post_Hunt,148,A,Live,NA,1
61298,"[61298,Intercept]",3/12/2020,NA,GA,2020,3Post_Hunt,148,A,Live,NA,1
9517,"[9517,Intercept]",3/1/2022,NA,GA,2022,3Post_Hunt,,A,Live,NA,1
9518,"[9518,Intercept]",3/1/2022,NA,GA,2022,3Post_Hunt,,A,Live,NA,1
9521,"[9521,Intercept]",3/1/2022,NA,GA,2022,3Post_Hunt,,A,Live,NA,1
9524,"[9524,Intercept]",3/1/2022,3/28/2022,GA,2022,1Pre_Hunt,,A,Live,NA,1
47650,"[47650,Intercept]",3/6/2022,4/27/2022,GA,2022,2Hunt,,J,Predated,Predated,0
9529,"[9529,Intercept]",3/1/2022,NA,GA,2022,3Post_Hunt,,A,Live,NA,1
9532,"[9532,Intercept]",3/1/2022,NA,GA,2022,3Post_Hunt,,A,Live,NA,1
9535,"[9535,Intercept]",3/1/2022,NA,GA,2022,3Post_Hunt,,A,Live,Predated,1
10274,"[10274,Intercept]",3/1/2022,,GA,2022,3Post_Hunt,,A,Live,Live,1
47670,"[47670,Intercept]",3/6/2022,,GA,2022,3Post_Hunt,,A,Live,Live,1
10299,"[10299,Intercept]",3/4/2023,,GA,2023,2Hunt,,A,Live,Live,1
11196,"[11196,Intercept]",3/1/2023,,GA,2023,3Post_Hunt,,A,Live,Live,1
11492,"[11492,Intercept]",3/1/2023,,GA,2023,3Post_Hunt,,J,Live,Live,1
11200,"[11200,Intercept]",3/1/2023,,GA,2023,3Post_Hunt,,A,Live,Live,1
11490,"[11490,Intercept]",3/1/2023,,GA,2023,3Post_Hunt,,A,Live,Live,1
11496,"[11496,Intercept]",3/1/2023,,GA,2023,3Post_Hunt,,A,Live,Live,1
11510,"[11510,Intercept]",3/1/2023,,GA,2023,3Post_Hunt,,A,Live,Live,1
11511,"[11511,Intercept]",3/1/2023,,GA,2023,3Post_Hunt,,A,Live,LIve,1
